#! FIELDS energy vol b1.bias der_energy der_vol
#! SET min_energy -15000
#! SET max_energy -12250
#! SET nbins_energy  201
#! SET periodic_energy false
#! SET min_vol 6.5
#! SET max_vol 8.25
#! SET nbins_vol  201
#! SET periodic_vol false
 -14491.250000000    6.500000000 -164.153163532   -0.134753268 -479.371668659
 -14477.500000000    6.500000000 -162.306733491   -0.133796250 -480.491609380
 -14463.750000000    6.500000000 -160.474366354   -0.132708415 -481.409730785
 -14450.000000000    6.500000000 -158.657831942   -0.131494086 -482.133275380
 -14436.250000000    6.500000000 -156.858836082   -0.130158224 -482.671183560
 -14422.500000000    6.500000000 -155.079012858   -0.128706283 -483.033919533
 -14408.750000000    6.500000000 -153.319918653   -0.127144090 -483.233293547
 -14395.000000000    6.500000000 -151.583027808   -0.125477735 -483.282282287
 -14381.250000000    6.500000000 -149.869729696   -0.123713471 -483.194849186
 -14367.500000000    6.500000000 -148.181327067   -0.121857632 -482.985766200
 -14353.750000000    6.500000000 -146.519035491   -0.119916553 -482.670438470
 -14340.000000000    6.500000000 -144.883983761   -0.117896510 -482.264733137
 -14326.250000000    6.500000000 -143.277215118   -0.115803664 -481.784813456
 -14312.500000000    6.500000000 -141.699689179   -0.113644010 -481.246979198
 -14298.750000000    6.500000000 -140.152284437   -0.111423346 -480.667514232
 -14285.000000000    6.500000000 -138.635801252   -0.109147236 -480.062542032
 -14271.250000000    6.500000000 -137.150965207   -0.106820988 -479.447889779
 -14257.500000000    6.500000000 -135.698430758   -0.104449637 -478.838961574
 -14243.750000000    6.500000000 -134.278785099   -0.102037931 -478.250621224
 -14230.000000000    6.500000000 -132.892552151   -0.099590324 -477.697084927
 -14216.250000000    6.500000000 -131.540196624   -0.097110974 -477.191824129
 -14202.500000000    6.500000000 -130.222128094   -0.094603744 -476.747478710
 -14188.750000000    6.500000000 -128.938705030   -0.092072206 -476.375780590
 -14175.000000000    6.500000000 -127.690238731   -0.089519649 -476.087487789
 -14161.250000000    6.500000000 -126.476997145   -0.086949092 -475.892328869
 -14147.500000000    6.500000000 -125.299208508   -0.084363295 -475.798957650
 -14133.750000000    6.500000000 -124.157064804   -0.081764775 -475.814918034
 -14120.000000000    6.500000000 -123.050724997   -0.079155819 -475.946618688
 -14106.250000000    6.500000000 -121.980318034   -0.076538509 -476.199317334
 -14092.500000000    6.500000000 -120.945945592   -0.073914735 -476.577114284
 -14078.750000000    6.500000000 -119.947684561   -0.071286214 -477.082954890
 -14065.000000000    6.500000000 -118.985589258   -0.068654515 -477.718640486
 -14051.250000000    6.500000000 -118.059693367   -0.066021074 -478.484847380
 -14037.500000000    6.500000000 -117.170011607   -0.063387218 -479.381153448
 -14023.750000000    6.500000000 -116.316541126   -0.060754178 -480.406071827
 -14010.000000000    6.500000000 -115.499262625   -0.058123118 -481.557091191
 -13996.250000000    6.500000000 -114.718141237   -0.055495143 -482.830722092
 -13982.500000000    6.500000000 -113.973127142   -0.052871324 -484.222548810
 -13968.750000000    6.500000000 -113.264155962   -0.050252711 -485.727286156
 -13955.000000000    6.500000000 -112.591148925   -0.047640351 -487.338840673
 -13941.250000000    6.500000000 -111.954012827   -0.045035298 -489.050375655
 -13927.500000000    6.500000000 -111.352639811   -0.042438630 -490.854379418
 -13913.750000000    6.500000000 -110.786906973   -0.039851461 -492.742736251
 -13900.000000000    6.500000000 -110.256675816   -0.037274946 -494.706799484
 -13886.250000000    6.500000000 -109.761791580   -0.034710297 -496.737466109
